name,lat,lon,spi
Tra My,15.3372,108.222,-0.682281005271
Kham Duc,15.445,107.7936111,-0.360057639726
Tien Phuoc,15.48833333,108.3077778,-0.672130061159
Nong Son,15.7025,108.0341667,-0.775590031917
Thanh My,15.766666666667,107.83055555556,-0.902804834285
Giao Thuy,15.84166667,108.1344444,-1.22553607955
Cau Lau,15.85805556,108.2733333,-1.26834624393
Hoi An,15.876666666667,108.33527777778,-1.47261114669
Ai Nghia,15.88138889,108.1102778,-0.931871316675
Cam Le,16.01083333,108.2058333,-1.37503301107
Da Nang,16.03,108.18,-1.37095878508
