name,lat,lon,spi
Tra My,15.3372,108.222,0.161527721663
Kham Duc,15.445,107.7936111,-1.76134811775
Tien Phuoc,15.48833333,108.3077778,-1.08220834879
Nong Son,15.7025,108.0341667,-0.472507281127
Thanh My,15.766666666667,107.83055555556,-0.544158784188
Giao Thuy,15.84166667,108.1344444,-0.221411487652
Cau Lau,15.85805556,108.2733333,-1.64834831503
Hoi An,15.876666666667,108.33527777778,-1.42602579447
Ai Nghia,15.88138889,108.1102778,-0.656069043483
Cam Le,16.01083333,108.2058333,-1.01976889561
Da Nang,16.03,108.18,-1.65354214976
