name,lat,lon,spi
Tien Phuoc,15.48833333,108.3077778,-0.37572996356
Hoi An,15.876666666667,108.33527777778,0.529485322795
Giao Thuy,15.84166667,108.1344444,-0.231522183295
Ai Nghia,15.88138889,108.1102778,-0.179173698268
Cau Lau,15.85805556,108.2733333,-0.391442121972
Kham Duc,15.445,107.7936111,-1.01774880853
Tra My,15.3372,108.222,-0.810321064455
Nong Son,15.7025,108.0341667,-0.25132414713
Da Nang,16.03,108.18,0.401890749595
Cam Le,16.01083333,108.2058333,0.316359179867
Thanh My,15.766666666667,107.83055555556,-0.0951372357374
